iter	Logloss
0	0.6566269298
1	0.6244362051
2	0.5931032233
3	0.5700103728
4	0.5515714767
5	0.5312063126
6	0.5163389201
7	0.5024031969
8	0.4925966055
9	0.4820797585
10	0.4715254178
11	0.4617476658
12	0.453521772
13	0.4455586767
14	0.4381859198
15	0.4299724741
16	0.4223866296
17	0.4160605444
18	0.4115500639
19	0.4078690568
20	0.4027234671
21	0.3981827961
22	0.3943232116
23	0.3906990554
24	0.388053604
25	0.3841425075
26	0.3810620878
27	0.3769022914
28	0.372740688
29	0.3698661047
30	0.3670854424
31	0.3631854451
32	0.360760572
33	0.356966186
34	0.3534589991
35	0.3496966848
36	0.3456934724
37	0.3410472868
38	0.3393397606
39	0.3379904207
40	0.3347107271
41	0.3317212571
42	0.330139625
43	0.3267019158
44	0.3238548554
45	0.3222055794
46	0.3202665802
47	0.3189303349
48	0.3168675404
49	0.3156416428
50	0.3136844002
51	0.3115289774
52	0.3100992355
53	0.3087659509
54	0.3055323533
55	0.3036547254
56	0.3022024283
57	0.2996981093
58	0.2982508729
59	0.296495546
60	0.2941886276
61	0.2935495126
62	0.2918181315
63	0.2900250145
64	0.2892261364
65	0.2887186782
66	0.2878062861
67	0.2860336658
68	0.2848521855
69	0.2820081951
70	0.2809010468
71	0.2798650404
72	0.278135629
73	0.2769081542
74	0.2752578543
75	0.2740822939
76	0.2718588562
77	0.27028389
78	0.2678317859
79	0.266624822
80	0.2647250972
81	0.2626726449
82	0.2610896338
83	0.2584089803
84	0.2557265033
85	0.2544574192
86	0.2530435067
87	0.2521023312
88	0.250569914
89	0.2496004357
90	0.2482458509
91	0.2454903665
92	0.2437372266
93	0.2422011111
94	0.2404979857
95	0.2388759502
96	0.2377610409
97	0.2352327253
98	0.2338705605
99	0.2329112568
