iter	Passed	Remaining
0	54	5378
1	55	2695
2	55	1806
3	56	1360
4	57	1089
5	57	908
6	58	779
7	59	682
8	59	606
9	60	544
10	61	494
11	61	452
12	62	417
13	62	386
14	63	360
15	64	337
16	64	316
17	65	298
18	66	282
19	67	268
20	67	254
21	68	242
22	69	231
23	69	221
24	70	211
25	71	202
26	71	193
27	72	185
28	72	178
29	73	171
30	74	164
31	74	158
32	75	152
33	75	147
34	76	141
35	76	136
36	77	132
37	78	127
38	78	123
39	79	119
40	80	115
41	80	111
42	81	108
43	82	104
44	82	101
45	83	98
46	84	95
47	84	91
48	85	88
49	85	85
50	86	83
51	87	80
52	87	77
53	88	75
54	89	72
55	89	70
56	90	68
57	91	65
58	91	63
59	92	61
60	92	59
61	93	57
62	94	55
63	94	53
64	95	51
65	95	49
66	96	47
67	96	45
68	97	43
69	98	42
70	98	40
71	99	38
72	100	37
73	100	35
74	101	33
75	102	32
76	102	30
77	103	29
78	104	27
79	104	26
80	105	24
81	106	23
82	106	21
83	107	20
84	108	19
85	108	17
86	109	16
87	110	15
88	111	13
89	112	12
90	112	11
91	113	9
92	114	8
93	114	7
94	115	6
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
